sku_internal_id,erp_code,product_name,cdKey,cdMiraGapRaw,cdTermDisplay,xLojas,rawSum,productionTotal,minFinalCd,p150TodayCd,dispTodayCd,error
3,10012,DUPLEX BORD GUIPIR IMPERIAL BG/BCO - 5.80X2.60,Fábrica,1,1,0,1,1,1,1,0,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Fábrica,1,1,8,9,9,1,1,0,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Fábrica,1,1,7,8,8,1,1,0,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Fábrica,1,1,8,9,9,1,1,0,
7,10023,"BLACKOUT 2,60X1,80 RUSTICO BRANYL",Fábrica,1,1,8,9,9,1,1,0,
8,10031,UNICA 5.80X2.60 OXFORD LISO PALHA,Fábrica,1,1,0,1,1,1,1,0,
9,10032,COZINHA 2.10X1.30 RENDA PL CAFE BRANCO,Fábrica,1,1,0,1,1,1,1,0,
10,10033,COZINHA RENDA PL GALINHA POA BRANCO - 2.10X1.30,Fábrica,1,1,0,1,1,1,1,0,
11,10034,UNICADECOA�UCENACRAVOSVERMELHO-4.20X2.60,Fábrica,1,1,0,1,1,1,1,0,
12,10039,BLACKOUT 100% 2.60X1.80 RUSTICO CKS CRU,Fábrica,1,1,0,1,1,1,1,0,
13,10040,BLACKOUT 100% 4.00X2.60 RUSTICO CKS CRU,Fábrica,1,1,0,1,1,1,1,0,
14,10041,BLACKOUT 100% 5.80X2.60 RUSTICO CKS CRU,Fábrica,1,1,0,1,1,1,1,0,
15,10042,DUPLEX 2.60X1.80 VOIL EST FLOR AZUL BRANCO,Fábrica,1,1,0,1,1,1,1,0,
16,10043,DUPLEX 4.00X2.60 VOIL EST FLOR AZUL BRANCO,Fábrica,1,1,0,1,1,1,1,0,
17,10044,DUPLEX 4.00X2.60 VOIL EST TULIPA MARROM,Fábrica,1,1,0,1,1,1,1,0,
18,10046,UNICAOXFORDLISOCARAMELO-5.80X2.70,Fábrica,1,1,0,1,1,1,1,0,
19,10057,"BLACK PVC 2,60X1,70 AVELA",Fábrica,1,1,0,1,1,1,1,0,
20,10066,COZINHARENDACLBULEAZULBRANCO-2.20X1.20,Fábrica,1,1,0,1,1,1,1,0,
21,10067,CORTA LUZ 2.60X1.80 LINHO ALEX KAKI,Fábrica,1,1,0,1,1,1,1,0,
22,10068,CORTA LUZ 60% 2.60X1.80 LINHO ALEX PRATA,Fábrica,1,1,0,1,1,1,1,0,
23,10071,CORTA LUZ 60% 4.00X2.60 LINHO ALEX KAKI,Fábrica,1,1,0,1,1,1,1,0,
24,10072,CORTA LUZ 60% 4.00X2.60 LINHO ALEX PRATA,Fábrica,1,1,0,1,1,1,1,0,
25,10076,CORTINA LINHO PARATI CRU 5.80X2.60,Fábrica,1,1,8,9,9,1,1,0,
26,10080,PRATIKA VOIL SLIM CHA 2.60X1.80,Fábrica,1,1,0,1,1,1,1,0,
