sku_internal_id,erp_code,product_name,store,demand,baseRep,minFinal,p150Today,dispToday,curveClass,ltDaysOperational,error
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Barreiro,1,1,1,1,0,C,6,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Betim,1,1,1,1,0,C,8,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Tupis,1,1,1,1,0,C,16,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Guaranis,1,1,1,1,0,C,5,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,G2,1,1,1,1,0,C,13,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Babita,1,1,1,1,0,C,16,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Venda Nova,1,1,1,1,0,C,16,
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Eldorado 2,1,1,1,1,0,C,5,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Tupis,1,1,1,1,0,C,16,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Barreiro,1,1,1,1,0,C,16,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Betim,1,1,1,1,0,C,16,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Babita,1,1,1,1,0,C,16,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Guaranis,1,1,1,1,0,C,16,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",G2,1,1,1,1,0,C,16,
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Venda Nova,1,1,1,1,0,C,16,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Betim,1,1,1,1,0,C,5,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Barreiro,1,1,1,1,0,C,5,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Tupis,1,1,1,1.0109060305668578,0,C,26,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Venda Nova,1,0,1,1,2,C,6,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Guaranis,1,1,1,1,0,C,7,
6,10016,CORTINA FLAME MARROM 2.60X1.70,G2,1,1,1,1,0,C,6,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Babita,1,0,1,1,1,C,16,
6,10016,CORTINA FLAME MARROM 2.60X1.70,Eldorado 2,1,1,1,1,0,C,15,
7,10023,"BLACKOUT 2,60X1,80 RUSTICO BRANYL",Babita,1,1,1,1,0,C,16,
7,10023,"BLACKOUT 2,60X1,80 RUSTICO BRANYL",Tupis,1,1,1,1,0,C,16,
7,10023,"BLACKOUT 2,60X1,80 RUSTICO BRANYL",Guaranis,1,1,1,1,0,C,16,
