sku_internal_id,erp_code,product_name,store,is_factory_or_cd,disponivel,fisico,vitrine,min_stock,alvo_p150,sugestao_unidades,ruptura_pct,unidades_perdidas_estimadas,prioridade,acao_sugerida,data_file
3,10012,DUPLEX BORD GUIPIR IMPERIAL BG/BCO - 5.80X2.60,Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Barreiro,false,0,0,1,,3,3,2.4359,6.1077,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Betim,false,0,0,1,,3,3,5,8.8465,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Tupis,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Guaranis,false,0,0,1,,3,3,3.2051,7.946,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,G2,false,0,0,1,,3,3,3.3333,2.4401,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Babita,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Venda Nova,false,0,0,1,,3,3,1.9231,1.5208,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Eldorado 2,false,0,0,1,,3,3,2.3077,3.6552,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
4,10014,CORTINA FLAME VERMELHO 2.60X1.70,Fábrica,true,0,0,0,,3,3,2.8205,5.884,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_4.js
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_5.js
5,10015,"UNICA 2,60X1,80 FLAME PRETO",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_5.js
