sku_interno,codigo_erp,produto,loja,estoque_minimo_legado
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Babita,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Barreiro,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Betim,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Carijós,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Eldorado 2,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Fábrica,5
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,G2,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Guaranis,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Tupis,3
49,10163,CORTINA LUX UNICA CTL LISO PRATA 5.80X2.60,Venda Nova,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Babita,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Barreiro,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Betim,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Carijós,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Eldorado 2,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Fábrica,5
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,G2,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Guaranis,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Tupis,3
73,10200,CORTINA BRIZA COZ. RENDA MAÇA PEROLA 2.00X1.50,Venda Nova,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Babita,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Barreiro,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Betim,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Carijós,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Eldorado 2,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Fábrica,5
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,G2,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Guaranis,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Tupis,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Venda Nova,3
74,10201,CORTINA BRIZA COZ. RENDA TULIPA PEROLA 2.00X1.50,Web,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Babita,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Barreiro,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Betim,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Carijós,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Eldorado 2,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Fábrica,5
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,G2,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Guaranis,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Tupis,3
98,10309,CORTINA LUX ESPECIAL VOIL SLIN PEROLA 4.00X2.60,Venda Nova,3
105,10336,CORTINA VOIL LISO PRATA C/ CORTA LUZ 70% 2.60X1.70,Babita,3
105,10336,CORTINA VOIL LISO PRATA C/ CORTA LUZ 70% 2.60X1.70,Barreiro,3
105,10336,CORTINA VOIL LISO PRATA C/ CORTA LUZ 70% 2.60X1.70,Betim,3
105,10336,CORTINA VOIL LISO PRATA C/ CORTA LUZ 70% 2.60X1.70,Carijós,3
